Kommun;Född i Sverige/Män;Utrikes född/Män;Född i Sverige/Kvinna;Utrikes född/Kvinnor;Folkmängd
1461 Mellerud;57;7;52;5;9263
1462 Lilla Edet;60;15;55;8;14428
1463 Mark;181;23;150;18;35329
1465 Svenljunga;49;9;49;8;10816
1466 Herrljunga;53;5;38;3;9517
1470 Vara;88;7;74;6;16163
1471 Götene;63;5;66;10;13275
1472 Tibro;52;5;51;6;11399
1473 Töreboda;50;3;46;8;9186
1480 Göteborg;1557;521;1679;484;596841
1481 Mölndal;191;32;200;42;70109
1482 Kungälv;172;15;200;12;49068
1484 Lysekil;92;6;102;7;14170
1485 Uddevalla;241;35;268;26;57282
1486 Strömstad;78;12;66;20;13290
1487 Vänersborg;204;23;180;21;39904
1488 Trollhättan;279;44;239;33;59274
1489 Alingsås;197;11;186;24;42199
1490 Borås;424;95;423;121;114445
1491 Ulricehamn;113;12;108;11;25108
1492 Åmål;78;10;60;14;12216
1493 Mariestad;140;17;140;18;24768
1494 Lidköping;194;18;190;14;40457
1495 Skara;88;15;79;8;18755
1496 Skövde;212;33;232;37;57463
1497 Hjo;46;6;53;5;9243
1498 Tidaholm;67;3;56;5;12839
1499 Falköping;176;16;169;18;33252
1715 Kil;73;1;54;0;12115
1730 Eda;29;14;32;9;8535
1737 Torsby;87;10;66;11;11411
1760 Storfors;25;4;22;9;3882
1761 Hammarö;70;8;72;10;16820
1762 Munkfors;27;2;25;4;3701
1763 Forshaga;40;5;53;2;11578
1764 Grums;54;4;43;2;9105
1765 Årjäng;34;10;45;13;9914
1766 Sunne;71;3;64;4;13418
1780 Karlstad;378;30;422;25;96466
1781 Kristinehamn;137;14;143;19;24053
1782 Filipstad;66;8;60;5;10315
1783 Hagfors;79;4;81;7;11589
1784 Arvika;153;10;156;15;25832
1785 Säffle;87;19;85;11;15242
1814 Lekeberg;36;2;27;0;8756
1860 Laxå;41;8;39;5;5576
1861 Hallsberg;86;5;69;6;16290
1862 Degerfors;61;7;43;12;9530
1863 Hällefors;44;9;53;5;6656
1864 Ljusnarsberg;32;3;21;5;4517
1880 Örebro;589;76;541;82;158057
1881 Kumla;80;10;77;7;22479
1882 Askersund;68;6;58;4;11497
1883 Karlskoga;165;26;153;24;30278
1884 Nora;64;5;44;7;10701
1885 Lindesberg;126;19;124;15;23435
1904 Skinnskatteberg;34;5;20;10;4402
1907 Surahammar;45;16;52;17;10033
1960 Kungsör;41;10;31;10;8762
1961 Hallstahammar;69;22;68;26;16711
1962 Norberg;35;6;31;8;5627
1980 Västerås;550;175;543;136;158653
1981 Sala;113;15;113;14;22981
1982 Fagersta;71;26;81;20;13341
1983 Köping;115;19;134;31;26120
1984 Arboga;81;9;74;8;14083
2021 Vansbro;37;2;46;0;6800
2023 Malung-Sälen;52;4;55;7;10258
2026 Gagnef;39;2;40;5;10499
2029 Leksand;71;9;81;6;16113
2031 Rättvik;91;2;78;5;11092
2034 Orsa;36;4;38;1;6934
2039 Älvdalen;38;2;54;5;7018
2061 Smedjebacken;59;6;56;9;10922
2062 Mora;124;8;114;9;20679
2080 Falun;218;8;238;25;59818
2081 Borlänge;223;29;213;27;52178
2082 Säter;60;2;52;1;11271
2083 Hedemora;87;10;77;10;15443
2084 Avesta;124;18;117;20;22932
2085 Ludvika;159;18;139;17;26353
2101 Ockelbo;46;3;38;0;5821
2104 Hofors;59;10;51;14;9472
2121 Ovanåker;73;4;63;5;11622
2132 Nordanstig;61;3;41;3;9487
2161 Ljusdal;109;6;131;4;18771
2180 Gävle;442;57;459;41;103493
2181 Sandviken;206;17;223;18;39098
2182 Söderhamn;164;14;178;7;25258
2183 Bollnäs;162;11;189;9;26624
2184 Hudiksvall;235;11;204;10;37688
2260 Ånge;66;2;64;5;9143
2262 Timrå;125;5;85;14;17754
2280 Härnösand;175;9;144;10;24879
2281 Sundsvall;488;32;503;33;99361
2282 Kramfors;117;7;120;11;17904
2283 Sollefteå;132;7;147;5;18667
2284 Örnsköldsvik;318;9;319;19;55557
2303 Ragunda;46;4;45;2;5174
2305 Bräcke;43;5;29;3;6162
2309 Krokom;79;5;76;4;15532
2313 Strömsund;81;4;75;5;11397
2321 Åre;44;1;27;2;12330
2326 Berg;44;3;50;0;7176
2361 Härjedalen;76;4;70;4;10185
2380 Östersund;285;8;306;16;64714
2401 Nordmaling;44;3;53;1;7066
2403 Bjurholm;24;1;27;1;2372
2404 Vindeln;35;2;49;3;5504
2409 Robertsfors;48;1;42;3;6759
2417 Norsjö;30;0;35;1;3947
2418 Malå;23;0;23;0;3033
2421 Storuman;45;1;38;2;5747
2422 Sorsele;17;2;21;0;2436
2425 Dorotea;35;1;27;0;2413
2460 Vännäs;54;1;44;3;8963
2462 Vilhelmina;43;2;51;2;6393
2463 Åsele;21;2;22;1;2782
2480 Umeå;443;29;481;24;132235
2481 Lycksele;82;4;93;7;12243
2482 Skellefteå;411;6;421;13;74402
2505 Arvidsjaur;37;0;47;1;6111
2506 Arjeplog;19;1;16;3;2667
2510 Jokkmokk;39;0;23;2;4760
2513 Överkalix;41;1;41;0;3160
2514 Kalix;116;14;106;10;15729
2518 Övertorneå;33;9;19;14;4119
2521 Pajala;60;3;44;11;5883
2523 Gällivare;104;2;97;10;17420
2560 Älvsbyn;60;3;56;1;7911
2580 Luleå;334;17;373;34;79244
2581 Piteå;208;7;209;8;42362
2582 Boden;163;4;148;7;28048
2583 Haparanda;36;43;25;47;9340
2584 Kiruna;140;4;119;11;22423
